player_hand,dealer_card,has_usable_ace,action,value
19,7,False,STICK,0.573
19,7,False,HIT,0.000
19,8,False,STICK,0.578
19,8,False,HIT,-0.010
6,3,False,STICK,-0.228
6,3,False,HIT,-0.109
12,3,False,STICK,-0.413
12,3,False,HIT,-0.274
18,3,True,STICK,0.104
18,3,True,HIT,-0.036
20,9,True,STICK,0.802
20,9,True,HIT,0.000
11,4,False,STICK,-0.029
11,4,False,HIT,0.246
10,1,False,STICK,-0.335
10,1,False,HIT,-0.130
17,3,False,STICK,-0.103
17,3,False,HIT,-0.352
4,4,False,STICK,-0.085
4,4,False,HIT,-0.065
16,5,True,STICK,-0.073
16,5,True,HIT,0.044
19,10,True,STICK,0.002
19,10,True,HIT,-0.147
21,4,True,STICK,0.862
21,4,True,HIT,0.000
20,5,False,STICK,0.648
20,5,False,HIT,0.000
6,9,False,STICK,-0.413
6,9,False,HIT,-0.301
21,9,True,STICK,0.956
21,9,True,HIT,0.000
13,4,False,STICK,-0.220
13,4,False,HIT,-0.408
20,2,False,STICK,0.651
20,2,False,HIT,0.000
6,2,False,STICK,-0.233
6,2,False,HIT,-0.191
13,7,False,STICK,-0.440
13,7,False,HIT,-0.339
16,1,False,STICK,-0.770
16,1,False,HIT,-0.619
14,10,True,STICK,-0.357
14,10,True,HIT,-0.135
17,2,True,STICK,-0.144
17,2,True,HIT,-0.013
20,4,False,STICK,0.637
20,4,False,HIT,0.000
6,4,False,STICK,-0.180
6,4,False,HIT,-0.116
9,9,False,STICK,-0.216
9,9,False,HIT,-0.069
15,8,False,STICK,-0.555
15,8,False,HIT,-0.343
17,1,True,STICK,-0.484
17,1,True,HIT,-0.376
13,7,True,STICK,-0.059
13,7,True,HIT,0.049
19,5,False,STICK,0.475
19,5,False,HIT,-0.010
18,10,True,STICK,-0.323
18,10,True,HIT,-0.374
19,7,True,STICK,0.588
19,7,True,HIT,0.000
10,6,False,STICK,-0.030
10,6,False,HIT,0.298
18,6,False,STICK,0.318
18,6,False,HIT,-0.029
16,7,True,STICK,-0.232
16,7,True,HIT,-0.048
21,6,True,STICK,0.897
21,6,True,HIT,0.000
15,6,False,STICK,-0.116
15,6,False,HIT,-0.351
21,3,False,STICK,0.920
21,3,False,HIT,0.000
9,2,False,STICK,-0.169
9,2,False,HIT,0.060
15,10,True,STICK,-0.413
15,10,True,HIT,-0.306
11,3,False,STICK,-0.002
11,3,False,HIT,0.265
8,3,False,STICK,-0.136
8,3,False,HIT,-0.128
14,1,False,STICK,-0.706
14,1,False,HIT,-0.646
15,2,True,STICK,-0.131
